Tabelle 1;;;;;;;;;;;;;;;;;;;
;Institute;Theme_DE;Question_number;Question_text;CPA_1_text;merkel_pre_1;merkel_pre_2;merkel_pre_3c;merkel_pre_tgt;merkel_pre_text;merkel_pre_reference;merkel_post_1;merkel_post_2;merkel_post_3c;merkel_post_tgt;merkel_post_text;merkel_post_reference;Comment;
1;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q3a;Wie schätzen Sie die Versorgung in verschiedenen Berei- chen an Ihrem Wohnort ein? Sie können jeweils antworten mit sehr gut, eher gut, eher schlecht oder sehr schlecht. (INT: Permutation der Statements) : A Kinderbetreuung und Schulen;Education;-1;0;-1;-1;"In manchen Bereichen sind die Ziele, die man sich gesetzt hat, erreicht worden - ich nenne die Kindertagesbetreuung; ich nenne die Zahl der Studierenden, die auf über 40 Prozent gesteigert werden sollte und jetzt bei 57 Prozent ist. Sie werden - das können Sie auch den Grafiken in der „Süddeutschen Zeitung“ entnehmen - in allen Bereichen einen klaren Aufwärtstrend feststellen. Wir können jetzt noch nicht sagen, was Ende 2015 sein wird, weil zum Teil erst die Zahlen aus den Jahren 2012 und 2013 vorliegen. Was man aber, glaube ich, auf jeden Fall sagen kann, ist, dass der Bildungsgipfel einen enormen Schub in wirklich allen Bereichen gebracht hat. Natürlich ist noch etwas zu tun, aber der Aufwärtstrend in allen Bereichen ist völlig unverkennbar.";2015-01-07_Im Wortlaut - Regierungspressekonferenz vom 7_ Januar 2015.txt;-1;-1;-1;-1;Wir haben im Bereich der Alleinerziehenden durch den Ausbau der Kinderbetreuung schon einiges erreicht. Aber wir müssen weitermachen. Wir müssen jetzt auch aufpassen, dass wir im Zusammenhang mit der Integration von Asylbewerbern das Fachkräftepotenzial nutzen.;2015-04-22_Rede von Bundeskanzlerin Merkel beim Empfang der CDU-CSU-Bundestagsfraktion für die deutsche Wirtschaft am 22_ April 2015.txt;;
2;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q3e;Wie schätzen Sie die Versorgung in verschiedenen Berei- chen an Ihrem Wohnort ein? Sie können jeweils antworten mit sehr gut, eher gut, eher schlecht oder sehr schlecht. (INT: Permutation der Statements) : E Straßen;Transportation;-1;0;-1;0;Wir in der Bundesregierung stellen uns vor, dass die ausgewählten Projekte so rasch wie möglich in einem Projektbuch sichtbar werden, damit nachverfolgt werden kann: Was wird jetzt wirklich umgesetzt? Was ist der Mehrwert eines solchen Investitionsprogramms? – Ich erinnere uns einmal an die Verkehrsprojekte „Deutsche Einheit“, bei denen sehr schön sichtbar gemacht wurde: Wie kommen wir voran? – Da konnte man das jederzeit nachvollziehen.;2014-12-18_Regierungserklärung von Bundeskanzlerin Merkel zum Europäischen Rat am 18_-19_ Dezember in Brüssel.txt;-1;-1;-1;-1;"Deutschland investiert mehr als in der letzten Legislaturperiode sowohl in Bildung und Forschung als auch in den Ausbau der Infrastruktur. Wir haben uns vorgenommen – ob auf kommunaler, Länder- oder Bundesebene –, die Investitionsfähigkeiten und die Investitionsmöglichkeiten zu stärken. Wolfgang Schäuble hat immer wieder darauf hingewiesen, dass jeder Spielraum gerade für diesen Bereich von allergrößter Bedeutung ist. Bei guter Haushaltsdisziplin werden wir die Möglichkeit haben, weitere zehn Milliarden Euro für Investitionen aufzubringen. Ich will Ihnen hier jetzt nicht alle Kennziffern von Deutschland aufzählen. Ich will nur darauf hinweisen: die Investitionen im wirtschaftlichen Bereich sind nicht schlecht; auch das, was wir international immer wieder als Hinweise bekommen, nämlich dass wir mehr in Bildung usw. investieren sollten, ist erfüllt. Hier haben wir mehr gemacht.";2015-01-19_Rede von Bundeskanzlerin Merkel zur Jahreseröffnung 2015 der Deutschen Börse am 19_ Januar 2015.txt;;
3;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q3f;"Wie schätzen Sie die Versorgung in verschiedenen Berei- chen an Ihrem Wohnort ein? Sie können jeweils antworten mit sehr gut, eher gut, eher schlecht oder sehr schlecht. (INT: Permutation der Statements) : F Kulturelles Angebot, z.B. Kinos, Theater, Museen 
";Education;NA;NA;NA;NA;NA;NA;-1;1;-1;-1;Auf der einen Seite leisten wir erhebliche Beiträge zur Erforschung und Vermittlung von Kultur und Geschichte der Deutschen im östlichen Europa. In diesem Jahr sind es insgesamt über 23 Millionen Euro, die wir Museen, Wissenschafts- und Kultureinrichtungen hierfür zur Verfügung stellen. Neben dem Westpreußischen Landesmuseum in Warendorf fördern wir zum Beispiel das Pommersche Landesmuseum in Greifswald – inzwischen Teil meines Wahlkreises. Dieses Pommersche Landesmuseum lädt derzeit zu einer sehenswerten Sonderausstellung ein, die den Titel „Zwei Männer - ein Meer. Pechstein und Schmidt-Rottluff an der Ostsee“ trägt. Ich kann Sie alle nur ganz herzlich einladen. Es gibt da auch noch manch anderes zu sehen. Greifswald ist auch die Stadt von Caspar David Friedrich.;2015-05-05_Rede von Bundeskanzlerin Merkel beim BdV-Jahresempfang am 5_ Mai 2015.txt;;
4;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q5k;Und sagen Sie mir jetzt bitte, in welchen der folgenden Bereichen Sie den Bau bzw. Ausbau für nötig halten und in welchen nicht. (INT: Permutation der Statements) : K Errichtung von Mobilfunkmasten   ;Space, Science, Technology and Communications;-2;0;-1;-1;Dazu gehören die flächendeckende Breitbandversorgung und die geplante Versteigerung der 700-Megahertz-Mobilfunkfrequenzen;2014-11-26_Rede von Bundeskanzlerin Merkel im Deutschen Bundestag.txt;-2;0;-1;-1;Bei der Entwicklung des Mobilfunknetzes der fünften Generation, kurz: 5G, kommt es für Bundeskanzlerin Angela Merkel darauf an, schnell Anwendungen dafür zu finden;2015-07-11_Video-Podcast - Merkel/ Technologische Entwicklungen zügig anwenden.txt;;
5;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q6k_1;"Und warum halten Sie das nicht für nötig? (INT.: Nur Items aus F5 mit „Halte ich nicht für nötig“; Mehrfachnennungen möglich) : K Errichtung von Mobilfunkmasten";Space, Science, Technology and Communications;-2;0;-1;-1;Dazu gehören die flächendeckende Breitbandversorgung und die geplante Versteigerung der 700-Megahertz-Mobilfunkfrequenzen;2014-11-26_Rede von Bundeskanzlerin Merkel im Deutschen Bundestag.txt;-2;0;-1;-1;Bei der Entwicklung des Mobilfunknetzes der fünften Generation, kurz: 5G, kommt es für Bundeskanzlerin Angela Merkel darauf an, schnell Anwendungen dafür zu finden;2015-07-11_Video-Podcast - Merkel/ Technologische Entwicklungen zügig anwenden.txt;;
6;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q8k;Infrastrukturprojekte sind einerseits wichtig, andererseits häufig Großprojekte, die umfangreiche Bauarbeiten mit sich bringen und Mensch und Natur belasten. Unabhängig davon, ob derzeit solche Projekte in Ihrer Region stattfin- den oder geplant sind: Stehen Sie der Umsetzung der nachfolgenden Projekte in Ihrer Region grundsätzlich überwiegend positiv, neutral oder überwiegend negativ ge- genüber. (INT: Permutation der Statements): K Errichtung von Mobilfunkmasten   ;Space, Science, Technology and Communications;-2;0;-1;-1;Dazu gehören die flächendeckende Breitbandversorgung und die geplante Versteigerung der 700-Megahertz-Mobilfunkfrequenzen;2014-11-26_Rede von Bundeskanzlerin Merkel im Deutschen Bundestag.txt;-2;0;-1;-1;Bei der Entwicklung des Mobilfunknetzes der fünften Generation, kurz: 5G, kommt es für Bundeskanzlerin Angela Merkel darauf an, schnell Anwendungen dafür zu finden;2015-07-11_Video-Podcast - Merkel/ Technologische Entwicklungen zügig anwenden.txt;;
7;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q12;Wenn es um die Finanzierung des Internetausbaus geht, wer sollte das Ihrer Meinung nach vorrangig bezahlen?;Space, Science, Technology and Communications;1;1;1;1;"Es muss also vor allem um die Mobilisierung privater Investitionen gehen. Ich begrüße deshalb ausdrücklich, dass dies auch die zentrale Stoßrichtung der Vorschläge von Jean-Claude Juncker ist.
Es muss darüber hinaus sichergestellt werden, dass zusätzlich mobilisierte Mittel sinnvoll und effektiv eingesetzt werden.
Wir müssen in Zukunftsbereiche investieren. Es müssen Zukunftsbereiche sein, die der strategischen Agenda, die wir im Juni beschlossen haben, entsprechen. Dazu gehören zum Beispiel die digitale Wirtschaft, kleine und mittlere Unternehmen, der Energiebereich, gegebenenfalls die Elektromobilität, also Dinge, mit denen wir unsere Wettbewerbsfähigkeit verbessern, meine Damen und Herren. Wir müssen in Zukunftsprojekte investieren, also in Projekte, die wirtschaftlich sinnvoll sind und die nachhaltiges Wachstum fördern.
Ich unterstütze die Idee, die Europäische Investitionsbank zu nutzen, um Projekte auszuwählen, die genau diese Kriterien erfüllen.
Es ist nämlich wichtig, den Weg über die Europäische Investitionsbank zu gehen, weil nur so sichtbar wird, wo es rentable Projekte gibt, bei denen auch privates Kapital mit einsteigt. Die Politik kann diese Auswahl nicht treffen, obwohl Sie ja offensichtlich Interesse daran haben.";2014-12-18_Regierungserklärung von Bundeskanzlerin Merkel zum Europäischen Rat am 18_-19_ Dezember in Brüssel.txt;1;-1;1;-1;"Die Bundeskanzlerin begrüßt, dass die Mittel aus dem 315-Milliarden-Programm über die EIB investiert werden. ""Diese Bank verfügt über Erfahrungen. Sie weiß, wo Investitionen lohnend sind, wo man auch noch zusätzlich privates Kapital einwerben kann"", erklärt Merkel. Sie plädiert mit Nachdruck für ""zukunftsfähige Investitionen"". Die Bundeskanzlerin nennt Investitionen in den Breitbandausbau und im Forschungsbereich. Es gehe darum, ""dass daraus neue Arbeitsplätze entstehen, dass daraus auch Wertschöpfung entsteht, die uns als Europäische Union, aber auch als Mitgliedsstaaten insgesamt stärker macht.""";2015-02-28_Video-Podcast - Merkel will bessere Rahmenbedingungen für Investitionen in der EU.txt;;
8;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q15;Die Regierung hat sich vorgenommen, bis 2018 das schnelle Internet flächendeckend anzubieten. Schätzun- gen zufolge würde ein Ausbau die Telekommunikationsun- ternehmen ohne Unterstützung rund 20 Milliarden Euro kosten. Was meinen Sie: Sollte der Staat den Unterneh- men Steuererleichterungen oder Fördermittel für den Aus- bau des schnellen Internets gewähren oder sollte er das nicht?;Space, Science, Technology and Communications;-1;1;-1;-1;"Es muss also vor allem um die Mobilisierung privater Investitionen gehen. Ich begrüße deshalb ausdrücklich, dass dies auch die zentrale Stoßrichtung der Vorschläge von Jean-Claude Juncker ist.
Es muss darüber hinaus sichergestellt werden, dass zusätzlich mobilisierte Mittel sinnvoll und effektiv eingesetzt werden.
Wir müssen in Zukunftsbereiche investieren. Es müssen Zukunftsbereiche sein, die der strategischen Agenda, die wir im Juni beschlossen haben, entsprechen. Dazu gehören zum Beispiel die digitale Wirtschaft, kleine und mittlere Unternehmen, der Energiebereich, gegebenenfalls die Elektromobilität, also Dinge, mit denen wir unsere Wettbewerbsfähigkeit verbessern, meine Damen und Herren. Wir müssen in Zukunftsprojekte investieren, also in Projekte, die wirtschaftlich sinnvoll sind und die nachhaltiges Wachstum fördern.
Ich unterstütze die Idee, die Europäische Investitionsbank zu nutzen, um Projekte auszuwählen, die genau diese Kriterien erfüllen.
Es ist nämlich wichtig, den Weg über die Europäische Investitionsbank zu gehen, weil nur so sichtbar wird, wo es rentable Projekte gibt, bei denen auch privates Kapital mit einsteigt. Die Politik kann diese Auswahl nicht treffen, obwohl Sie ja offensichtlich Interesse daran haben.";2014-12-18_Regierungserklärung von Bundeskanzlerin Merkel zum Europäischen Rat am 18_-19_ Dezember in Brüssel.txt;-2;-1;-1;-1;"Die Bundeskanzlerin nennt Investitionen in den Breitbandausbau und im Forschungsbereich. Es gehe darum, ""dass daraus neue Arbeitsplätze entstehen, dass daraus auch Wertschöpfung entsteht, die uns als Europäische Union, aber auch als Mitgliedsstaaten insgesamt stärker macht.""";2015-02-28_Video-Podcast - Merkel will bessere Rahmenbedingungen für Investitionen in der EU.txt;;
9;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q16;Der Beschluss der Bundesregierung sieht vor, dass Deutschland bis zum Jahr 2022 ganz aus der Kernenergie aussteigt. Sind wir mit der Energiewende, also der Umstel- lung auf erneuerbare Energien auf dem richtigen Weg?;Energy;-2;1;-1;-1;Eine weitere drängende Frage ist, wie wir die globale Energieversorgung sichern. Deutschland hat nach der Reaktorkatastrophe von Fukushima vor bald vier Jahren den beschleunigten Ausstieg aus der Kernenergie, die Energiewende, beschlossen. Seitdem investieren wir verstärkt in den Ausbau und die Nutzung erneuerbarer Energien, in neue Speichertechnologien und in Technologien zur Verbesserung der Energieeffizienz. Ich will nicht verschweigen, dass eine solche Energiewende auch für ein Hochtechnologieland wie Deutschland durchaus eine Herkulesaufgabe ist – eine nationale Kraftanstrengung. Sie bietet aber, davon bin ich überzeugt, deutlich mehr Chancen als Risiken, wenn wir sie konsequent angehen.;2014-11-14_Rede von Bundeskanzlerin Merkel an der Universität Auckland am 14_ November 2014.txt;-2;1;-1;-1;"Für den Erfolg des Langfristprojekts Energiewende ist allerdings das Strommarktdesign nicht das alleinige Kriterium, sondern wir brauchen auch Entscheidungen für den notwendigen Netzausbau. Der Ausbau erneuerbarer Energien und der beschleunigte Ausstieg aus der Kernenergie führen dazu, dass Strom zunehmend fernab der Verbrauchszentren gefördert wird. 
";2015-01-14_Rede von Bundeskanzlerin Merkel zum Neujahrsempfang des Bundesverbands Erneuerbare Energie e_V_ (BEE) am 14_ Januar 2015.txt;;
10;polis sinus;Infrastruktur in Deutschland aus der Sicht der Bevölkerung;q17_01;"Wenn der Energiebedarf auf absehbare Zeit nicht alleine durch erneuerbare Energien gedeckt werden kann, wie sollte man Ihrer Meinung nach die Energieversorgung si- cherstellen: Durch...(INT: Permutation der Statements A- E; Mehrfachnennungen möglich): eine längere Nutzung der Kernkraftwerke,";Energy;-2;1;-1;-1;Eine weitere drängende Frage ist, wie wir die globale Energieversorgung sichern. Deutschland hat nach der Reaktorkatastrophe von Fukushima vor bald vier Jahren den beschleunigten Ausstieg aus der Kernenergie, die Energiewende, beschlossen. Seitdem investieren wir verstärkt in den Ausbau und die Nutzung erneuerbarer Energien, in neue Speichertechnologien und in Technologien zur Verbesserung der Energieeffizienz. Ich will nicht verschweigen, dass eine solche Energiewende auch für ein Hochtechnologieland wie Deutschland durchaus eine Herkulesaufgabe ist – eine nationale Kraftanstrengung. Sie bietet aber, davon bin ich überzeugt, deutlich mehr Chancen als Risiken, wenn wir sie konsequent angehen.;2014-11-14_Rede von Bundeskanzlerin Merkel an der Universität Auckland am 14_ November 2014.txt;-2;1;-1;-1;"Für den Erfolg des Langfristprojekts Energiewende ist allerdings das Strommarktdesign nicht das alleinige Kriterium, sondern wir brauchen auch Entscheidungen für den notwendigen Netzausbau. Der Ausbau erneuerbarer Energien und der beschleunigte Ausstieg aus der Kernenergie führen dazu, dass Strom zunehmend fernab der Verbrauchszentren gefördert wird. 
";2015-01-14_Rede von Bundeskanzlerin Merkel zum Neujahrsempfang des Bundesverbands Erneuerbare Energie e_V_ (BEE) am 14_ Januar 2015.txt;;
